,Anúncio Nº :,Bairro:,Banheiros:,CEP:,Cadastro Municipal:,Calçada:,Cidade:,Cobertura:,Construção:,Código do Imóvel:,Cômodos:,Distância Ponto de Ônibus:,Endereço:,Esgoto:,Estacionamento:,Estado:,Forro:,Iluminação Interna:,Lavabo:,Lavanderia:,Metragem Terreno:,Metragem do Imóvel:,Nome do Edifício:,Número Lote:,Número Quadra:,Número de Suítes:,Número do Andar:,Número do Apto.:,Orientação Solar:,País:,Price:,Quartos:,Salas:,Tipo de Cercado:,Tipo de Garagem:,Tipo de Piso:,Topografia do Terreno:,Vagas de Garagam:,Valor Aprox. Condomínio:,Valor Aprox. IPTU:,Zoneamento Municipal:,link,Água:,Índice de energia:
0, 25273, Cadorin, 2,,,," Paraná, Pato Branco",, Alvenaria, M-135,, 01 quadra," rua Itabira, 2720", Rede de Esgoto,, Paraná, Laje,,, Sim,, 100.00 m2, Michelangelo, 01, 1140, 01, 03, 303, Frente para o NORTE, Brasil, R$ 280.000 , 3, Uma,, Privativa, Alto Tráfego,, 02," 300,00",,,https://www.moretti.imb.br/imovel/apartamento-semi-mobiliado-residencial-michelangelo-face-leste-norte-duas-garagens-m-135/, Coletiva,
1, 25071, Centro, 4, 85501-067,, Paver, Pato Branco,, Alvenaria, M-135, 10, 01 quadra," Rua Tamoio, 393", Rede de Esgoto,, Paraná, Gesso,, 1, Sim,, 238.00 m2, Emanuell, 004, 0041, 03, 02, 202, Frente para o NORTE, Brasil," Locação: R$ 2.500 Venda: R$ 640.000,00", 3, sim,, Privativa, Madeira e Cerâmica,, 02," 290,00",,,https://www.moretti.imb.br/imovel/apartamento-novo-central-com-3-suites-e-duas-vagas-de-garagem-privativas/, Individual,
2, 24963," Centro, Santa Terezinha", 2, 85.501-230,, Paver," Paraná, Pato Branco", Laje, Alvenaria, M129, 9, 01 quadra," Rua Tamoio, 393", Rede de Esgoto,, Paraná, Laje,, 1, Sim,, 185.00 m2, San Marino I, 06, 89, 01, 03, 303, Frente para o LESTE, Brasil, R$ 450.000 , 3, uma dois ambientes,, Privativa, Madeira e Cerâmica,, 02," 450,00",,,https://www.moretti.imb.br/imovel/suite-mais-dois-quartos-no-san-marino-i-com-2-vagas-de-garagens-m129/, Coletiva, 220 KWh kWh/m²a
3, 24802," Bancários, Centro", 2, 85501-296,, Lajota, Pato Branco, Laje, Alvenaria, M054, 9, 02 quadras," Rua Aimoré, 1110", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, Sim,, 104.00 m2, Siena, 005, 0046, 01, 03, 304, Frente para o LESTE, Brasil, R$ 280.000 , 3, Uma Sala com Dois Ambientes, Cerca Metálica, Privativa, Alto Tráfego, Terreno Plano, 01," R$ 290,00",,,https://www.moretti.imb.br/imovel/apto-03-quartos-suite-2-no-bancarios-10369-m2-ref-m128/, Individual, 220 KWh kWh/m²a
4, 24776," Centro, Santa Terezinha", 1, 85501-100,, Lajota, Pato Branco, Laje, Alvenaria, M127, 6, 01 quadra," Rua Barão do Rio Branco, 620", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, Sim,, 67.00 m2, Residencial Iguaçu, 023, 0089, -- : --, 01, 101, Frente para o OESTE, Brasil, R$ 163.000 , 1, Sala dois ambientes com sacada, -- : --, Privativa, Alto Tráfego, -- : --, 01," R$ 160,00",,,https://www.moretti.imb.br/imovel/um-quarto-ed-iguacu-centro-com-garagem-investimento/, Coletiva, 220 KWh kWh/m²a
5, 24688," Centro, Santa Terezinha", 2, 85506-240, 6421000, Paver, Pato Branco, Laje, Alvenaria, M125, 8, 01 quadra," Rua Visconde de Tamandaré, 1090 esquina R Xingu", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, -- : --,, 81.00 m2, Franciele Eloise, 006, 0117, 01, 01, Aptº 101 - 1º andar, Frente para o OESTE, Brasil, R$ 250.000 , 2, Uma sala com 02 ambientes e sacada, -- : --, Privativa, Alto Tráfego, -- : --, 01," R$ 160,00",,,https://www.moretti.imb.br/imovel/dois-quartos-suite-com-garagem-r-xingu-esq-santa-terezinha-91-m2-investimento-locacao/, Coletiva, 220 KWh kWh/m²a
6, 24609," Cristo Rei, Santa Terezinha", 2, 85501-110, 7348240, Paver, Pato Branco, Laje, Alvenaria, M103, 7, 02 quadras," Rua Visconde de Tamandaré 175, Ap 403 Bloco A", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, Sim,, 77.00 m2, Vilage 4 Estações, 007, 0166, 01, 04, 403 A, Frente para o OESTE, Brasil, Imperdível... Só >>>    R$ 189.000 , 2, Sala 02 ambientes, -- : --, Privativa, Cerâmica, -- : --, 01," R$ 230,00"," Para 2019 R$ 111,77", ZR-1,https://www.moretti.imb.br/imovel/suite-um-quarto-no-vilage-4-estacoes-garagem-privativa-ref-m103/, Individual, 220 KWh kWh/m²a
7, 24592, Centro, 2, 85.501-030, 7348240, Paver," Paraná, Pato Branco", Laje, Alvenaria, M-122, 8, 02 quadras," rua Tapajós, 316", Rede de Esgoto, -- : --, Paraná, Laje, -- : --, 1, Sim,, 77.00 m2, Canaã, 10, 504, 01, 04, 401, Frente para o NORTE, Brasil, R$ 297.000 , 3, duas, -- : --, Privativa, Cerâmica, -- : --, 01," 250,00"," Para 2019 R$ 111,77", ZR-1,https://www.moretti.imb.br/imovel/apartamento-suite-mais-dois-quartos-garagem-privativa-rua-tapajos-centro-m-122/, Coletiva, 220 KWh kWh/m²a
8, 24438, Centro, 2, 85501-050, 7348240, Paver, Pato Branco, Laje, Alvenaria, M-120, 9, 01 quadra," Rua Guarani, 798", Rede de Esgoto, -- : --, Paraná, Laje, Fluorescentes Comum, 1, Sim,, 120.00 m2, GUARANI II, 007, 0029, 01, 01, 101, Frente para o LESTE, Brasil, R$ 315.000 , 3, 01  SALA COM 02 AMBIENTES , -- : --, Compartilhada, Madeira e Cerâmica, Terreno Plano, 01," 280,00"," Para 2019 R$ 111,77", ZR-1,https://www.moretti.imb.br/imovel/apartamento-residencial-guarani-ii-no-101-com-garagem-rua-guarani-798-matricula-no-38-616-e-38-658-valor-r315-00000/, Coletiva, 220 KWh kWh/m²a
9, 24162, Centro, 2, 85.501-010, 7348240, Paver, Pato Branco, Laje, Alvenaria, M114, 9, 01 quadra," rua Tocantins, 2714", Rede de Esgoto, -- : --, Paraná, Laje, Fluorescentes Comum, 1, Sim,, 128.00 m2, Montese, 08, 042, 01, 02, 204, Frente para o LESTE, Brasil, R$ 360.000 , 2, duas, -- : --, Privativa, Madeira e Cerâmica, Terreno Plano, 01," 300,00"," Para 2019 R$ 111,77", ZR-1,https://www.moretti.imb.br/imovel/apartamento-novo-edificio-montese-m114/, Individual, 220 KWh kWh/m²a
