,Preço,Detalhes,Link
0,R$ Consulte Valor ," Seis apartamentos por andar.
Apartamentos com uma suíte e uma demi suíte.
Apartamentos com uma suíte e um quarto.
Apartamentos de um quarto. ",http://www.habitar.imb.br/imoveis/759952/edificio-batel
1,R$ Consulte Valor ," Sala Comercial com área total de 126,68 m² ",http://www.habitar.imb.br/imoveis/759315/sala-comercial-402-edificio-joao-gava
2,"R$ 5.500,00 "," Sala comercial térrea (loja e sobreloja) com 242,00 m². ",http://www.habitar.imb.br/imoveis/759308/sala-comercial-edificio-sigma
3,R$ Consulte Valor ," Edifício Carmenére.
Localização privilegiada na cidade.
 ",http://www.habitar.imb.br/imoveis/757484/carmenere
4,"R$ 825,00 "," Apartamento com suíte mais um quarto, localizado no centro próximo a Avenida Tupi ",http://www.habitar.imb.br/imoveis/757448/apartamento-103-edificio-rio-sena
5,"R$ 980,00 ", Sobrado novo localizado no bairro Fraron ,http://www.habitar.imb.br/imoveis/752317/sobrado-186-bairro-fraron
6,"R$ 700,00 ", Apartamento seminovo com dois quartos e uma vaga de garagem ,http://www.habitar.imb.br/imoveis/750357/apartamento-03-edificio-sao-luiz
7,"R$ 600,00 ", Casa no alto do bairro Industrial ,http://www.habitar.imb.br/imoveis/749462/casa-73-bairro-industrial
8,"R$ 1.100,00 "," Apartamento mobiliado com ótima localização, em frente a praça central. ",http://www.habitar.imb.br/imoveis/749446/apartamento-1403-edificio-verissimo-rizzi
9,"R$ 1.250.000,00 "," LINDO TERRENO COM 1.326,00 M² DE ÁREA PRIVATIVA, MAIS ÁREA DE PRESERVAÇÃO PERMANENTE (BOSQUES), ÁREA DE RECREAÇÃO E ÁREA DE RUAS.
 ",http://www.habitar.imb.br/imoveis/747233/terreno-condominio-belvedere
10,"R$ 880,00 ", Apartamento próximo a Policlínica com uma vaga de garagem individual. ,http://www.habitar.imb.br/imoveis/740259/apartamento-603-edificio-ararate
11,"R$ 850.000,00 "," Apartamento com 200,00m² de área privativa, ótima localização.
01 apartamento por andar, 02 vagas de garagem individuais. ",http://www.habitar.imb.br/imoveis/739438/apartamento-101-residencial-firenze
12,"R$ 900,00 "," Espaço odontológico para atendimento todas as manhãs de segunda à sexta feira, com toda estrutura montada. ",http://www.habitar.imb.br/imoveis/738071/espaco-odontologico
